dealer,model,slot,market,freight,date
4,1155 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2514 DC <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,TC1X <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,1040G <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,3434 PMB <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2311 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2313 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,SICD2X NT <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,SICP1X NT <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,1030G <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,1050G <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2049 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,SICP2X NT <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2514 SNC <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2047 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,SPUD KIT 4300 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2513 DC <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2313NB <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2314NB <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,TC2X <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,3920-94 PMP <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,Installation <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2310NB <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,TEMP <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2020 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,53ET2XP <PAVING & RECOVERY>,44.0,0.0,0.0,2021-05-17
4,53ET3XP <PAVING & RECOVERY>,44.0,0.0,0.0,2021-05-17
4,53ET4XP <PAVING & RECOVERY>,44.0,0.0,0.0,2021-05-17
4,48ET2XP <PAVING & RECOVERY>,44.0,0.0,0.0,2021-05-17
4,48ET3XP <PAVING & RECOVERY>,44.0,0.0,0.0,2021-05-17
4,60HDGSB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55FA <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG4X SB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,40HDG4X SB P <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X BTHH <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X SBHH <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,60HDG4X SB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,35HDG2X Mini <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,50HDG3X AG <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X E <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,50FA AGRI <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55FA LH <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,51HDG3X SB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,55HDG3X SB <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,35HDG2X53 AGC <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
4,35HDG2X53 AGNR <HYDRAULICS>,44.0,0.0,0.0,2021-05-17
