QuoteNo, QuoteModel, QuoteWeek, Dealer, Base, Gross, Total, n_options, US
25607, 40ADG2X NR, 4, Fort Garry Industries Ltd., $54008.4472, $67618, $66942, 11, 0
25526, 30NTT, 4, Remorques Lewis Inc., $27657, $38718, $37755, 7, 0
25622, 55HDG3X E, 4, NorthEast Truck & Trailer Sales, $64796, $75593, $74837, 11, 0
25625, 40HDG3X53 AG, 4, NorthEast Truck & Trailer Sales, $79749.6943, $84857, $84009, 5, 0
25626, 55HDG3X, 4, NorthEast Truck & Trailer Sales, $74898, $84820, $83972, 9, 0
25627, 37DT3X, 4, Remorques Lewis Inc., $68282.76, $78189, $77407, 8, 0
25629, 51LD4X5T V2018, 4, NorthEast Truck & Trailer Sales, $71283.4281, $84246, $82432, 17, 0
25630, 51LF4X5T V2018, 4, NorthEast Truck & Trailer Sales, $70577.7069, $85073, $82662, 19, 0
25631, 30ANR, 4, Atlantic Powertrain & Equipment, $28828.4466, $36061, $36061, 6, 0
25632, 48ET3X, 4, Remorques Lewis Inc., $43458.5409, $53399, $51279, 9, 0
25636, 25ANR, 4, Remorques Lewis Inc., $28281, $34572, $33713, 8, 0
25637, 53ET3XP, 4, Remorques Lewis Inc., $57411.3922, $63841, $61307, 5, 0
25639, 46LF3X4T V2018, 4, NorthEast Truck & Trailer Sales, $52186, $57811, $57232, 8, 0
25647, 48HF2X, 5, Remorques Lewis Inc., $36772, $46428, $45964, 6, 0
25648, 48HF4X, 5, Remorques Lewis Inc., $51153.7731, $60788, $60180, 5, 0
25651, 35ADG2X51 AGNR, 5, S & S Trailers Sales Inc, $53399.9416, $56822, $56822, 7, 1
25665, 20ART, 5, BWS - US Direct Sales, $22020, $26682, $26682, 2, 1
25668, 35FA, 5, Fort Garry Industries Ltd., $12532.4164, $13405, $13271, 4, 0
25672, 30ANR, 5, NorthEast Truck & Trailer Sales, $28828.4466, $30213, $29911, 3, 0
25673, 37DT3X, 5, NorthEast Truck & Trailer Sales, $68282.76, $75042, $74292, 6, 0
25674, 20ART, 5, Diamond International Trucks Ltd., $26725, $31118, $30807, 10, 0
25683, 53ET4X MR, 5, Remorques Lewis Inc., $61196, $74782, $72553, 9, 0
25684, 32DT3X V2018, 5, Remorques Lewis Inc., $67949.5253, $79558, $67899, 8, 0
25685, 30ART, 5, NorthEast Truck & Trailer Sales, $31667, $33060, $32729, 3, 0
25687, 30ANR, 5, Nuss Truck & Equipment, $24153.5633, $28898, $28898, 2, 1
25701, 48ET2X, 5, BWS - US Direct Sales, $31117.6328, $39312, $38132, 8, 1
25704, 25ART, 5, Fleet Maintenance Inc., $26191, $32175, $30727, 10, 1
25706, 30NTT, 6, Remorques Lewis Inc., $27657, $29178, $28453, 3, 0
25707, 32DT3X V2018, 6, Remorques Lewis Inc., $67949.5253, $77908, $66492, 8, 0
25709, 25ART, 6, Wieland Sales Inc., $26191, $34768, $31322, 7, 1
25713, 48HF2X, 6, Redhead Equipment Ltd., $36772, $39544, $39544, 7, 0
25714, 53HD3X V2018, 6, Redhead Equipment Ltd., $40552.5331, $41776, $41776, 7, 0
25715, 53ET2X, 6, Redhead Equipment Ltd., $38855.5659, $46194, $46194, 7, 0
25721, 20NTT, 6, Remorques Lewis Inc., $21771, $22373, $21817, 1, 0
25726, 53ET3X, 6, Remorques Lewis Inc., $45047.7666, $49757, $47782, 7, 0
25728, 20ANR, 6, Hale Trailer Brake & Wheel, $19432, $21482, $19166, 7, 1
25729, 30ANR, 6, Hale Trailer Brake & Wheel, $24153.5633, $30255, $26258, 10, 1
25739, 48ET2XP, 7, Hale Trailer Brake & Wheel, $42245.4257, $50320, $46428, 7, 1
25745, 53ET3X, 7, Fort Garry Industries Ltd., $45047.7666, $64668, $64022, 8, 0
25748, 25NTT, 7, Fleet Maintenance Inc., $22704, $26980, $25227, 5, 1
25749, 25ART, 7, Fleet Maintenance Inc., $26191, $31325, $29915, 5, 1
25750, 25ART, 7, Fleet Maintenance Inc., $26191, $29056, $27749, 6, 1
25752, 30NTT, 7, Remorques Lewis Inc., $27657, $31473, $30691, 2, 0
25753, 48ET3X, 7, Northeast Truck & Trailer Sales, $43458.5409, $48394, $47910, 4, 0
25757, 53ET3X, 7, Northeast Truck & Trailer Sales, $45047.7666, $52695, $52168, 9, 0
25758, 30NTT, 7, Remorques Lewis Inc., $27657, $34388, $33533, 3, 0
25759, 53HD3X V2018, 7, Remorques Lewis Inc., $40552.5331, $42834, $42405, 4, 0
25769, 53ET4XP, 8, Remorques Lewis Inc., $75803, $88781, $85256, 19, 0
25770, 53ET2X, 8, Remorques Lewis Inc., $38855.5659, $44691, $42916, 8, 0
25771, 20ANR, 8, Hale Trailer Brake & Wheel, $19432, $20727, $18478, 4, 1
25772, 53ET3XP, 8, NorthEast Truck & Trailer Sales, $59708, $79333, $78539, 12, 0
25775, 53ET3X, 8, Redhead Equipment Ltd., $45047.7666, $55820, $55820, 0, 0
25786, 30NTT, 8, Remorques Lewis Inc., $28763, $37439, $36509, 3, 0
25793, 40HDG3X AG, 9, Fort Garry Industries Ltd., $95282.9013, $100802, $99794, 6, 0
