ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
647925,Pony Dump 3X17,Pony Dump 3X17-48,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,1326.0000,BODY,"3/8 in. Floor (5083)",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EDA,NULL
647926,Pony Dump 3X17,Pony Dump 3X17-49,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,208.0000,SUSPENSION/AXLES,"Wheel Monitor RM 60",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EDB,NULL
647927,Pony Dump 3X17,Pony Dump 3X17-50,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,ACCESSORIES,"Rubber Tailgate Seal",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EDC,NULL
647928,Pony Dump 3X17,Pony Dump 3X17-51,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,ACCESSORIES,"2 in. x 8 in. Boards",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EDD,NULL
647929,Pony Dump 3X17,Pony Dump 3X17-52,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,ACCESSORIES,"2 in. x 12 in. Boards, Cubic Capacity  is 25 cubic yards with 48 in. sides and 27.5 cubic yards with 54 in sides",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EDE,NULL
647930,Pony Dump 3X17,Pony Dump 3X17-53,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,GENERAL SPECIFICATIONS,"Board Color, other than Black",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,1,Enter a colour,NULL,0x0000000263CD2EDF,NULL
647931,Pony Dump 3X17,Pony Dump 3X17-54,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,62.4000,GENERAL SPECIFICATIONS,"Tarp Color, other than Black or Red",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,1,Enter a colour,NULL,0x0000000263CD2EE0,NULL
647932,Pony Dump 3X17,Pony Dump 3X17-55,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,PAINT,"Frame Color, other than Black",NULL,NULL,NULL,NULL,21,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EE1,NULL
647933,Pony Dump 3X17,Pony Dump 3X17-56,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,SUSPENSION/AXLES,"Duralite Hubs and Drums",NULL,NULL,NULL,NULL,13,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EE2,NULL
648278,Pony Dump 3X17,Pony Dump 3X17-57,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,SUSPENSION/AXLES,"Durabrite hubs with Centrifuge Drums",NULL,NULL,NULL,NULL,13,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2EE3,NULL
879875,Pony Dump 3X17,Pony Dump 3X17-58,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,1144.0000,SUSPENSION/AXLES,"22.5 Durabrite Alum. Wheel Pkg. (6 Accuride Inside, 6 Durabrite (outside)",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F45,NULL
880349,Pony Dump 3X17,Pony Dump 3X17-59,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"Floor Liner to include 24 in. high on wall",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F46,NULL
896389,Pony Dump 3X17,Pony Dump 3X17-60,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,ACCESSORIES,"2 in. x 6 in. Boards, Cubic Capacity is 22.5 cubic yards with 48 in. sides and 30 cubic yards with 60 in. sides",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F47,NULL
896778,Pony Dump 3X17,Pony Dump 3X17-62,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,SUSPENSION/AXLES,"Hendrickson Intraax HT300 Suspension - Tandem",NULL,NULL,NULL,NULL,13,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F48,NULL
898309,Pony Dump 3X17,Pony Dump 3X17-63,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,SUSPENSION/AXLES,"Hendrickson Intraax HT300 Suspension - Tridem",NULL,NULL,NULL,NULL,13,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F49,NULL
898898,Pony Dump 3X17,Pony Dump 3X17-67,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,4000.0000,BODY,"22 ft Box",950,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F4A,NULL
898899,Pony Dump 3X17,Pony Dump 3X17-68,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,-800.0000,BODY,"16 Ft Box",-190,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F4B,NULL
899072,Pony Dump 3X17,Pony Dump 3X17-69,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"54 in. Wall Height with 12 in. board 27.5 cubic yards",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F4C,NULL
899073,Pony Dump 3X17,Pony Dump 3X17-70,2020-09-09 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"60 in. Wall Height with 6 in. boards 30 cubic yards",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2F4D,NULL
1159812,Pony Dump 3X17,Pony Dump 3X17-71,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,312.0000,BODY,"1 ft. additional Box length",190,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,1,Max truckbox length is 23 ft.,NULL,0x0000000263CD2F8A,NULL
