ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
2891479,PB17,PB17-45,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,51.5500,GENERAL SPECIFICATIONS,"Shovel Holder",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C57,39.6500
2891480,PB17,PB17-46,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,51.5500,GENERAL SPECIFICATIONS,"Broom Holder",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C58,39.6500
2891481,PB17,PB17-48,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,1314.4300,BODY,"3/8 in. Floor (5083)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C59,1011.1000
2891482,PB17,PB17-50,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"Rubber Tailgate Seal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5A,0.0000
2891483,PB17,PB17-51,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"2 in. x 8 in. Boards",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5B,0.0000
2891484,PB17,PB17-52,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"2 in. x 12 in. Boards, cubic capacity is 25 cubic yards with 48 in. sides and 27.5 cubic yards with 54 in sides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5C,0.0000
2891485,PB17,PB17-53,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,PAINT,"Board Color",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5D,0.0000
2891486,PB17,PB17-54,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,61.8600,BODY,"Tarp Color, other than Black",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5E,47.5800
2891487,PB17,PB17-58,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,-309.2800,BODY,"16 Ft.",-190,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C5F,-237.9100
2891488,PB17,PB17-59,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"2 in. x 6 in. boards, cubic capacity is 22.5 cubic yards with 48 in. sides and 30 cubic yards with 60 in. sides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C60,0.0000
2891489,PB17,PB17-60,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,1546.0000,BODY,"22 ft. box",950,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C61,1189.5300
2891490,PB17,PB17-61,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"54 in. Wall Height",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F399C62,NULL
2891491,PB17,PB17-62,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"60 in. Wall Height",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F399C63,NULL
2891492,PB17,PB17-63,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,0.0000,BODY,"Floor Liner to include 24 in. high on wall",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F399C64,0.0000
2891493,PB17,PB17-64,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,1804.1200,BODY,"Custom Hoist 135 (74-4561-135) with dumping angle of 47 degrees",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C65,1387.7900
2891494,PB17,PB17-65,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,309.2800,BODY,"1 ft. Additional Length",190,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F399C66,237.9100
