DATA,,,,17.5,,,22.5,,,24.5,,,
Job,StockCode,CustomerName,JobDeliveryDate,Steel,Machine,Polish,Steel,Machine,Polish,Steel,Machine,Polish,
10014848,51LF3X3T AB V2016-120-25785,DIAMOND INTERNATIONAL TRUCKS L,"Wednesday, September 29, 2021",,,,,,,,,,
10014850,35FA-102-25843,FORT GARRY INDUSTRIES LTD.,"Thursday, September 30, 2021",,,,,,,,,,
10014851,27DT2X V2018-102-24845,REMORQUE LEWIS,"Friday, October 1, 2021",,,,,,,,,,
10014852,27DT2X V2018-102-24840,REMORQUE LEWIS,"Saturday, October 2, 2021",,,,,,,,,,
10014853,51LD4X5T V2018-102-25629,NORTHEAST TRUCK & TRAILER,"Sunday, October 3, 2021",,,,,,,,,,
10014854,51LD4X5T V2018-102-25671,NORTHEAST TRUCK & TRAILER,"Monday, October 4, 2021",,,,,,,,,,
10014861,25NTT-102-25748,FLEET MAINTENANCE INC,"Tuesday, October 5, 2021",,,,,,,,,,
10014865,30ART-102-25737,TRAILERS PLUS,"Wednesday, October 6, 2021",,,,,,,,,,
10014870,25ART-102-25749,FLEET MAINTENANCE INC,"Thursday, October 7, 2021",,,,,,,,,,
10014871,25ART-102-25750,FLEET MAINTENANCE INC,"Friday, October 8, 2021",,,,,,,,,,
10014874,20ART-102-25823,HALE TRAILER BRAKE & WHEEL INC,"Saturday, October 9, 2021",,,,,,,,,,
10014875,20ART-102-25824,HALE TRAILER BRAKE & WHEEL INC,"Sunday, October 10, 2021",,,,,,,,,,
10014885,51LF4X5T V2018-102-25670,NORTHEAST TRUCK & TRAILER,"Monday, October 11, 2021",,,,,,,,,,
10014886,51LF4X5T V2018-102-25630,NORTHEAST TRUCK & TRAILER,"Tuesday, October 12, 2021",,,,,,,,,,
10014907,55HDG3X E-108-25622,NORTHEAST TRUCK & TRAILER,"Wednesday, October 13, 2021",,,,,,,,,,
10014909,35FA-102-25723,TEC EQUIPMENT,"Thursday, October 14, 2021",,,,,,,,,,
10014942,30ANR-102-25972,HALE TRAILER BRAKE & WHEEL INC,"Friday, October 15, 2021",,,,,,,,,,
10014943,30ANR-102-25976,HALE TRAILER BRAKE & WHEEL INC,"Saturday, October 16, 2021",,,,,,,,,,
10014946,20NTT-102-25911,HALE TRAILER BRAKE & WHEEL INC,"Sunday, October 17, 2021",,,,,,,,,,
10014947,20NTT-102-25912,HALE TRAILER BRAKE & WHEEL INC,"Monday, October 18, 2021",,,,,,,,,,
10014948,20NTT-102-25915,HALE TRAILER BRAKE & WHEEL INC,"Tuesday, October 19, 2021",,,,,,,,,,
10014961,40ADG3X53 NR-102-25795,NORTHEAST TRUCK & TRAILER,"Wednesday, October 20, 2021",,,,,,,,,,
