Job,JobDescription,JobClassification,JobType,MasterJob,Priority,StockCode,StockDescription,Warehouse,Customer,CustomerName,JobTenderDate,JobDeliveryDate,JobStartDate,ActCompleteDate,Complete,SeqCheckReq,DateCalcMethod,ExpLabour,ExpMaterial,QtyToMake,QtyManufactured,Source,EstSourceNum,NextDetailLine,PctCompleteFlag,PrtFactDoc1,PrtFactDoc2,PrtFactDoc3,PrtFactDoc4,SellingPrice,AddLabPct,AddMatPct,ProfitPct,SalesOrder,MaterialBilled,LabourBilled,NextOpForAll,HighestOpPosted,TotalQtyScrapped,ConfirmedFlag,HoldFlag,JobCreatedStruc,LstOrderCreated,TraceableType,NxtLinePartBook,Route,WipCtlGlCode,Decimals,SalesOrderLine,MatCostToDate1,MatCostToDate2,MatCostToDate3,LabCostToDate1,LabCostToDate2,LabCostToDate3,HrsBookToDate1,HrsBookToDate2,HrsBookToDate3,MatValueIssues1,MatValueIssues2,MatValueIssues3,LabValueIssues1,LabValueIssues2,LabValueIssues3,NarrationNum,ReqPlnFlag,DateJobLstUpd,TimeJobLstUpd,HierarchyFlag,NextLineHier,EstTrailLoad,OrdEntSource,Version,Release,AllocationLine,PurgeJob,HierarchyJob,MrpFromJob,MrpToJob,OrigDueDate,GrossFlg,GrossQty,ExpLabCurrent,ExpMatCurrent,ReservedLotSerFlag,NotionalPart,CoProductCostMet,CoProductCostVal,CoProductType,CapexCode,CapexLine,UomFlag,ConvFactUom,ConvMulDiv,ScheduleFlag,SchStartDate,SchStartTime,SchEndDate,SchEndTime,QtyToMakeEnt,QtyManufacturedEnt,TotQtyScrappedEnt,GrossQtyEnt,ProductCode,LibraryCode,TimeStamp,NestAllocs,CreatedForNest
10014499,SG WO 9405,TRA, , ,50,PONY 3X17-25089,38' PONY TRAILER FRAME 3X,3,1975,CASH ON DELIVERY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,4816.5,28241.47955,1,1,O, ,234,0,Y,N,N,N,40421,0,0,0, ,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,0,30529.87,18977.86,0,6741.15,3303.3,0,103.71,50.82,0,30529.87,0,0,6741.15,0,0,0, ,00:00.0,1542, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,4816.5,28241.47955, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E40C1C5, , 
10014632,8730TT-ART-STAN,TRA, , ,50,30ART-102-25022,30 TON - 3 AXLE - 17.5 - 49,3,3035,NORTHEAST TRUCK & TRAILER,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,8102.25,23840.48892,1,1,O, ,259,0,Y,N,N,N,36926,0,0,0,512891,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,25435.1,19673.76,0,8365.5,1784.9,0,128.7,27.46,0,25435.1,0,0,8365.5,0,0,0, ,00:00.0,1338, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,8102.25,23840.48892, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011DD87F93, , 
10014329,SG WO 9192,TRA, , ,50,PONY 3X17-24745,38' PONY TRAILER FRAME 3X,3,1975,CASH ON DELIVERY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,4816.5,11810.73978,1,1,O, ,429,0,Y,N,N,N,26028,0,0,0, ,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,0,30155.44,19128.49,-2.45,6887.4,195,0,105.96,3,0,30155.44,0,0,6887.4,0,0,0, ,00:00.0,1110, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,4816.5,11810.73978, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011DB2337E, , 
10014735,8721TT-NO/TILT,TRA, , ,50,20NTT-102-25590,20 TON - 2 AXLE - 17.5 - 49 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,NULL,N,N,S,6864,16501.45136,1,0,O, ,187,0,Y,N,N,N,28344,0,0,0,513019,0,0,15,13,0,Y,N,Y, ,N,0,0,1200,0,1,16769.99,0,0,4976.4,0,0,76.56,0,0,0,0,0,0,0,0,0, ,00:00.0,1031, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6864,16501.45136, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,0,0,1, ,     ,0x000000011E2265EF, , 
10014717,8728LBT2X NS V2016,TRA, , ,50,28LBT2X NS-102-24899,28 FT - 2 AXLE - 22.5 - 60 IN,3,3011,ATLANTIC POWERTRAIN & EQUIPMEN,00:00.0,00:00.0,00:00.0,NULL,N,N,S,6279,25930.89006,1,0,O, ,240,0,Y,N,N,N,42537,0,0,0,512991,0,0,15,8,0,Y,N,Y, ,N,0,0,1200,0,1,18784.29,1384.2,0,6760,0,0,104,0,0,0,0,0,0,0,0,0, ,00:00.0,940, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6279,25930.89006, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,0,0,1, ,     ,0x000000011E1F313E, , 
10014364,SG WO 9196,TRA, , ,50,PONY 3X17-24817,38' PONY TRAILER FRAME 3X,3,1975,CASH ON DELIVERY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,4816.5,28387.56865,1,1,O, ,405,0,Y,N,N,N,26028,0,0,0, ,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,0,30387.35,19024.07,0,6919.9,169,0,106.46,2.6,0,30387.35,0,0,6919.9,0,0,0, ,00:00.0,1115, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,4816.5,28387.56865, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E40B976, , 
10014500,SG WO 9194,TRA, , ,50,PONY 3X17-25090,38' PONY TRAILER FRAME 3X,3,1975,CASH ON DELIVERY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,4816.5,28241.47955,1,1,O, ,251,0,Y,N,N,N,40421,0,0,0,512729,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,30913.63,19305.67,0,6379.75,2968.55,0,98.15,45.67,0,30913.63,0,0,6379.75,0,0,0, ,00:00.0,815, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,4816.5,28241.47955, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011DD86C69, , 
10014561,8725TT-NO-TILT,TRA, , ,50,25NTT-102-25210,"25 TON - 3 AXLE - 17.5 - 49""",3,2730,HALE TRAILER BRAKE & WHEEL INC,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,7501,21300.42813,1,1,O, ,236,0,Y,N,N,N,38695.995,0,0,0,512796,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,22518.37,4237.51,0,7666.75,443.95,141.05,117.95,6.83,2.17,22518.37,0,0,7666.75,0,0,0, ,00:00.0,1339, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,7501,21300.42813, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011DD88254, , 
10014594,8755HDG3X H V2020,TRA, , ,50,55HDG3X H V2020-102-25279,55 TON - 3 AXLE - 60 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,NULL,N,N,S,14537.25,67259.74429,1,0,O, ,430,0,Y,N,N,N,88109,0,0,0,512843,0,0,15,13,0,Y,N,Y, ,N,0,0,1200,0,1,57203.18,11782.28,0,12449.45,0,0,191.53,0,0,0,0,0,0,0,0,0, ,00:00.0,756, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,14537.25,67259.74429, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,0,0,1, ,     ,0x000000011E421A19, , 
10014617,8721TT-NO/TILT,TRA, , ,50,20NTT-102-25333,20 TON - 2 AXLE - 17.5 - 49 IN,3,2730,HALE TRAILER BRAKE & WHEEL INC,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6717.75,17791.29669,1,1,O, ,207,0,Y,N,N,N,28944.621,0,0,0,512876,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,18270.41,7215.05,0,6425.25,1187.55,0,98.85,18.27,0,18270.41,0,0,6425.25,0,0,0, ,00:00.0,1321, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6717.75,17791.29669, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D7B615B, , 
