Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40952074,TOW HOOK BUMPER PIN BAR,EA,01,1,0,-1,163.85,,0,,-163.85,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40952647,PLATE SERRATED EDGE FOR BUNK,EA,01,2,0,-2,38,,0,,-38,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40953541,PLATE LANDING GEAR PROTECTOR,EA,01,2,0,-2,41.71,,0,,-41.71,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40953551,FENDER SUPPORT P/S,EA,01,2,0,-2,50.68,,0,,-50.68,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40953552,FENDER SUPPORT D/S,EA,01,1,0,-1,42.58,,0,,-42.58,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40953555,FENDER SUPPORT D/S,EA,01,1,0,-1,25.34,,0,,-25.34,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40953562,PLATE SERRATED EDGE FOR BUNK,EA,01,4,0,-4,51.52,,0,,-51.52,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40954547,AIR BAG PLATE CUSTOM SSA,EA,01,1,0,-1,19.33,,0,,-19.33,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40960454,GLAD HAND GUARD PLATE-LD133,EA,01,1,0,-1,47.38,,0,,-47.38,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40964583,COUPLER BRACKET - PLATE,EA,01,7,0,-7,8.26,,0,,-8.26,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40989461,"X-MEMBER 33-1/4"" WITH HOLES",EA,01,3,0,-3,81.61,,0,,-81.61,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40991405,BRACKET AIR COUPLER SINGLE,EA,01,2,0,-2,4.17,,0,,-4.17,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40994679,B-STIFFENER,EA,01,2,0,-2,0,,0,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40994680,B-STIFFENER FOR HSS,EA,01,4,0,-4,0,,0,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6,402440,RIM ALUM22.5 X 12.25 #29378XP,EA,01,2,0,-2,1008.4,,0,,-1008.4,,-100,,,,,,,,,,,,
