Text0,Text5,Desc,LongDesc,Text89,Text91,Text64,Text19,Text15,Text17,Text66,Text94,Text67,Text68,Text69,Text70,Text71,Text72,Seq,Op,Comp,Desc_txt,LongDesc_txt,Text95,QtPer,SUOM,MC,,RT,,LC,,TC,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,4,40991405,BRACKET AIR COUPLER SINGLE,"3/16"" 50W PLATE",0,2,EA,6.46,,,,0.00,,6.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4,40994672,SSA X-MEMBER WITH HOLES,1/4 50W PLATE,0,3,EA,0.00,,,,0.00,,0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Feb-20,6,401101K,RIM STEEL 8.25X24.5 (2 HOLE),WH24501-2 WHITE 8000#,984,12,EA,"1,028.55",,,,0.00,,"1,028.55",,,,,,,,,
,,,,,,,,,,,,,,,,,,29-Jun-20,6,402440,RIM ALUM22.5 X 12.25 #29378XP,S/SINGLE .56 INSET/OFFSET,164,2,EA,"1,008.40",,,,0.00,,"1,008.40",,,,,,,,,
,,,,,,,,,,,,,,,,,,15-Mar-21,6,409374,TIRE 11R24.5-16 S815,#S8244558 SAILUN,0,12,EA,"3,466.44",,,,0.00,,"3,466.44",,,,,,,,,
,,,,,,,,,,,,,,,,,,17-Nov-20,6,409375,TIRE 385/65R22.5 S825,#S8244651 SAILUN,0,2,EA,867.96,,,,0.00,,867.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,27-Jan-21,8,17424,REDUCER #MAK 11/06/19,VERY SLOW POLYURETHANE,0,6.5,LTR,46.18,,,,0.00,,46.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,8,17462,"PAINT ""BWS"" LIGHT GREY AUE-370",#920967  STAKE GREY 19L KITS,0,12,LTR,307.10,,,,0.00,,307.10,,,,,,,,,
,,,,,,,,,,,,,,,,,,15-Mar-21,8,17464,PAINT BLACK #AUE-370 DRUM,#PPG 942066 19 LITER KITS,0,50,LTR,860.07,,,,0.00,,860.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,23-Feb-21,8,17470,PAINT BLACK #AUE-100 JET BLACK,USED FOR SPRAY BOM'S ONLY,0,1,LTR,16.06,,,,0.00,,16.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Feb-21,8,17492,PRIMER SEP BLACK,19 LITER KIT #707617420,0,34,LTR,603.54,,,,0.00,,603.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,23-Feb-21,8,17547,PRIMER EWP435 GREY,19 LITER KIT,0,12,LTR,213.41,,,,0.00,,213.41,,,,,,,,,
,,,,,,,,,,,,,,,,,,18-Feb-21,9,06151,WIRE 2 COND 14GA,GROTE 82-5503,0,35,FT,8.75,,,,0.00,,8.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,9,06466,"GROMMET RB-265 1 1/2"" IDX2 1/8",#88-0112GR,0,40,EA,25.20,,,,0.00,,25.20,,,,,,,,,
,,,,,,,,,,,,,,,,,,08-Mar-21,9,06629,LIGHT KIT U/BLUE BWS-L-LED-H,48' DOUBLE BACK UPS / LED,0,1,EA,420.00,,,,0.00,,420.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,9,401361,RECEPTACLE 7 PIN ISO #680-E72,FOR ALL ABS TRAILERS,0,1,EA,12.65,,,,0.00,,12.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Mar-21,9,40213,RECEPTACLE 7 WAY 670-72, ,0,1,EA,8.60,,,,0.00,,8.60,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,9,40474,BOOT FOR 7 WAY SOCKET (#670-722), ,0,2,EA,2.66,,,,0.00,,2.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,03080,BOLT HEX 3/8 X 1-1/2 UNC,GR 5,0,12,EA,1.55,,,,0.00,,1.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,03564,NUT LOCK NYL 3/8 -16 UNC,#0169778,0,20,EA,1.01,,,,0.00,,1.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,03735,NUT LOCK NYL 1/4 -20 UNC,#0169776,0,9,EA,0.23,,,,0.00,,0.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,10,06808,HEAT SHRINK & SOLDER SPLICE CO,84-2412,0,1,EA,0.60,,,,0.00,,0.60,,,,,,,,,
,,,,,,,,,,,,,,,,,,26-Oct-20,10,06834,"HARNESS # 66123  10' 9""",1 MALE - 2 FEMALE,0,1,EA,6.62,,,,0.00,,6.62,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07060,FIT TEE 3/8AIRx3/8AIRx3/8AIR,#KV2T11-00,0,12,EA,41.04,,,,0.00,,41.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Feb-21,10,07063,FIT STR 3/8AIRx1/4MNPT,#KV2H11-35S,0,6,EA,10.92,,,,0.00,,10.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07065,FIT 90 3/8AIRx1/4MNPT,#KV2L11-35S,0,7,EA,15.53,,,,0.00,,15.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07066,FIT 90 1/2AIRx3/8MNPT,#KV2L13-36S,0,3,EA,10.53,,,,0.00,,10.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07069,FIT 90 3/8AIRx1/8MNPT,#KV2L11-34S,0,2,EA,4.47,,,,0.00,,4.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Mar-21,10,07082,NIPPLE 1/8 CLOSE   112-A, ,0,2,EA,0.54,,,,0.00,,0.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,03-Feb-21,10,07100,FIT TEE 3/8AIRx3/8AIRx3/8MNPT,#KV2T11-36S,0,1,EA,3.80,,,,0.00,,3.80,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07109,FITTING 1/2 TUBE X 3/8 NPT STR,#KV2H13-36S,0,14,EA,40.22,,,,0.00,,40.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07128,FIT 90 1/2AIRx1/4MNPT,#KV2L13-35S,0,1,EA,3.31,,,,0.00,,3.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Feb-21,10,07243,FIT 90 3/8AIRx3/8MNPT,#KV2L11-36S,0,3,EA,8.21,,,,0.00,,8.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,07244,FIT STR 3/8AIRx3/8MNPT,#KV2H11-36S,0,6,EA,11.49,,,,0.00,,11.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,05-Feb-21,10,07253,FITTING 1/4 SHUT OFF PV608-4, # 2120B 4.75,0,1,EA,7.55,,,,0.00,,7.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Feb-21,10,07254,FIT TEE 3/8AIRx1/4MNPTx3/8AIR,#KV2Y11-35S,0,8,EA,28.95,,,,0.00,,28.95,,,,,,,,,
