COMPANY NAME;;ADDRESS;;CITY;;PROVINCE;;POSTAL CODE;;LAT;;LON
Mike Forsyth;;2221, Route 560;;Lakeville;;NB;;E7K 1T5;;46.34480564947915;;-67.68983091494833
Multivans Inc.;;13289 Coleraine Dr;;Boulton;;ON;;L7E 3B6;;43.86265784758769;;-79.73798327268513
Municipal Enterprises Limited;;PO Box 48100;;Bedford;;NS;;B4A 3Z2;;44.74761903131968;;-63.629299732186944
National Pavement Expo - Marshalling Yard;;14 James Robertson Pkwy;;Nashville;;TN;;37213;;36.17280842852298;;-86.76719668635923
Newtrans Equipment Carriers Ltd.;;42 St. Annes Cres.;;Paradise;;NL;;A1L 1K1;;47.52917895329845;;-52.84002331676873
NH Body & Trailer;;11 Navigator Road;;Londonderry;;NH;;3053;;42.93054842777741;;-71.42555917631795
Noel Peat Moss Ltd.;;439-B rue Du Moulin;;Tracadie;;NB;;E1X 1A4;;47.52348380016667;;-64.91696744375254
Norfolk Naval Shipyard - ESS Inc.;;740 Osbourne Road;;Barnwell;;SC;;29812;;33.24558920053955;;-81.46914683060095
North Metro Asphalt;;1455 165th Ave NE;;Ham Lake;;Minnesota;;55304;;45.27091723832896;;-93.2327665014848
Northeast Truck & Trailer;;178 Greenview Drive;;Hanwell;;NB;;E3C 0M7;;45.92371505845634;;-66.71424212841912
Northeast Truck & Trailer;;178 Greenview Drive;;Hanwell;;NB;;E3C 2A5;;45.92371505845634;;-66.71424212841912
Northeast Truck & Trailer Sales;;83 Hub Centre Dr.;;Upper Onslow;;NS;;B6L 0c6;;45.38543478957698;;-63.31996808613754
Northeast Truck & Trailer Sales;;289 Mclean Ave.;;Hartland;;NB;;E7K 2P7;;46.301081282398414;;-67.52098237007067
Northeast Truck & Trailer Sales;;29 Silver Fox Drive;;Salisbury;;NB;;E4J 0A9;;46.053406769906125;;-65.05721871125114
Nova Truck Centres;;670 Wilkinson Ave.;;Dartmouth;;NS;;B3B 0J4;;44.71919716790626;;-63.56749302848294
Nowak Construction Co, Inc.;;200 Goddard Road;;Goddard;;KS;;67057;;37.65561228771919;;-97.57078380776812
NPE - C/O Shepard Expo. Services - Booth# 641;;1139 W. 3rd St;;Cleveland;;OH;;44113-1019;;41.50261541654132;;-81.69860970158024
Nuss Truck & Equipment;;9403 Westgate Blvd;;Duluth;;MN;;55810;;46.72582678888168;;-92.22675378424962
Nuss Truck & Equipment;;2195 W. County Road C2;;Roseville;;MN;;55113;;45.0294704139302;;-93.19196784714656
O'Connor Motor Company;;187 Riverside Drive;;Augusta;;Maine;;4330;;44.32881565301837;;-69.76172798801744
O'Connor Motor Company Cross Insurance Center;;515 Main Street;;Bangor;;Maine;;4401;;44.7891557695886;;-68.77900985916958
Pace Trailer Sales & Service Inc;;8788 Byron Commerce Drive;;Byron Center;;MI;;49315;;42.80639533427439;;-85.66953644810557
Petersen Inc.;;1527 N 2000 W.;;Ogden;;UT;;84404-9687;;41.28751335237204;;-112.02979011507729
Pierquip Inc.;;1016 Chemin Olivier;;St. Nicholas;;PQ;;G7A 2M7;;46.68488044074657;;-71.32794745911949
Pierquip Inc.;;16709 Boul Du Cure - Labelle;;Mirabel;;PQ;;J7J 2G6;;45.73595623256432;;-73.96647629168562
Premier;;1858 W. Bridge St.;;Blackfoot;;ID;;83221;;43.196130708954314;;-112.37020410153822
Premier Technology Inc.;;1858 West Bridge;;Blackfoot;;ID;;83221;;43.196130708954314;;-112.37020410153822
Premier Ventures Ltd.;;52 Spice Dr.;;Yorkton;;SK;;S3N-4A2;;51.21526616929085;;-102.4341723880519
PrInce George Truck & Equipment (2000) Ltd.;;8982 Sintich Road;;Prince George;;BC;;V2N 5S6;;53.841440328859186;;-122.728837799623
Production Components;;115 Eagle Way;;Clinton;;TN;;37716;;36.11162586670645;;-84.10950603688477
PT Welding;;1960 E Main St,;;Woodland;;CA;;95776;;38.677120738863515;;-121.73218294420812
Quality Trailers Ltd.;;50 Roy Roche Dr. GDN Stn L;;Winnipeg;;MB;;R3H 0Y6;;49.953222319409356;;-97.23399012857286
Radco Trucking;;9905 Sapp Brothers Dr.;;Omaha;;NE;;68138;;41.16104161781191;;-96.14242875735502
Radco Trucking;;921 French Ave.;;Gridley;;CA;;95948;;39.33805163958771;;-121.71415759817174
Radco Trucking;;2491 West Gridley Biggs Road;;Gridley;;CA;;95948;;39.33797695854028;;-121.71418978467692
Ray G. Ebbett;;8864 Main Street;;Bristol;;NB;;E7L 2A1;;46.45636759967467;;-67.60191077284591
